plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,entity_id,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
78,208,4878,237,4077,7,13,6,6,237,NA,NC232,Z027E0182,09IN4878,27,249.285,3.462309203,0.969231264,1364.517536,0.466020971,3040.245985,925.9952431,2800.930221,86.45302616,3.969366117,13.79118392,0.001187997,0.373029082,1.741091549,13.86692119,0.015789598,1.393946185,1.912478105,0.171102814,0.322693157,0.098985147
86,54,5132,62,4544,8,15,2,2,62,NA,B37,Z027E0034,09IN5132,27,253.137,4.634160175,1.678279743,1441.258027,0.446111695,2433.13058,1120.048098,3309.568494,46.30926248,6.585481368,19.71797289,0.00094299,0.438572495,2.709870918,20.46422995,0.012735946,1.057811053,1.228171442,0.052371515,0.25130234,0.098943223
13,40,5010,45,675,2,3,1,1,45,NA,NC260,Z027E0187,09IN5010,27,240.766,4.39948994,1.94940499,1402.043565,0.549961428,3592.554239,1163.915415,3635.080723,64.76731304,7.788679841,26.42350961,0.001260397,0.172818974,0.95840834,27.57714274,0.009968492,1.251376077,1.827198405,0.162023134,0.228719038,0.098806617
50,23,4997,26,2582,5,9,2,2,26,NA,P39,Z027E0231,09IN4997,27,124.288,6.048453293,4.47422733,1405.623107,0.67526027,3563.220344,1125.236726,4832.129597,31.58523649,6.795597985,19.56332811,0.001820254,0.277437041,1.565326758,27.51422591,0.032570143,1.341298135,2.278685098,0.11372997,0.230926149,0.098238234
10,144,5084,160,480,1,2,4,10,480,NA,Ki21,Z027E0150,09IN5084,27,295.752,3.938910354,2.235257738,1304.439562,0.635712259,2793.732337,1058.598291,4131.425854,55.66072173,4.886814669,18.51926937,0.000844289,0.065979092,3.585078909,23.22596272,0.011549551,1.854302411,1.326329977,0.170524148,0.2739855,0.098188939
33,131,5132,136,1729,3,6,3,9,457,NA,B37,Z027E0034,09IN5132,27,224.302,4.075549222,1.697224771,1649.330419,0.640177799,3403.986725,1211.131685,3325.107762,105.2396479,7.507301175,21.30343584,0.000838489,0.477244188,3.157558832,20.34823001,0.007638996,2.079471247,1.179642504,0.374094185,0.242722991,0.097239389
54,243,5097,270,2826,5,9,6,6,270,NA,NC344,Z027E0211,09IN5097,27,148.504,4.700749885,3.294682999,1291.660872,0.98209735,3963.278821,1179.601717,4116.014263,34.69794567,6.14905355,13.93211702,0.001646378,0.152006552,2.425180884,19.61390944,0.024880604,1.649995549,1.405376297,0.099935021,0.124969019,0.096963364
62,76,5077,90,3288,6,11,2,2,90,NA,NC258,Z027E0186,09IN5077,27,262.156,3.859345054,0.985562363,1355.319167,0.543894128,3387.969171,1121.278727,3928.114855,52.52930753,5.458061316,18.3502339,0.001413578,0.210423218,2.019618416,22.27250488,0.011146771,1.266196489,2.138131087,0.061283964,0.180059231,0.096711709
46,150,1380,168,2403,4,8,4,10,489,MO055,IBM,Z017E0035,09IN1380,17,162.978,4.550118904,4.283877155,905.0172296,1.300478046,2196.857393,1221.23813,3476.543638,137.8261549,5.98164729,18.65945735,0.002398972,0.167292106,2.300990782,22.4119017,0.024215483,1.24591774,2.006689818,0.329968557,0.240920459,0.096236444
50,24,4980,27,2583,5,9,2,2,27,NA,NC342,Z027E0210,09IN4980,27,216.114,4.022196412,3.039919883,1426.698169,0.500345748,3666.712148,1152.108033,4246.118169,29.87646935,6.08500575,20.61122977,0.001508653,0.314651007,2.667188026,21.87631055,0.018219576,1.069784127,2.841045573,0.0749469,0.15578714,0.095541763
33,158,5132,176,1769,3,6,3,9,497,NA,B37,Z027E0034,09IN5132,27,262.694,3.705419501,1.805412189,1439.549432,0.677764046,2973.31605,1112.463262,3176.532111,81.34237343,6.024269465,18.9464163,0.000876336,0.45197013,3.024266665,18.4394608,0.007326338,1.646537867,1.1737135,0.318364991,0.267396194,0.095296886
13,29,5119,36,666,2,3,1,1,36,NA,B76,Z027E0043,09IN5119,27,289.43,4.345627291,2.31031569,1234.304477,0.531659376,3347.317991,1084.180702,3389.524095,60.09540967,4.970472723,21.25928921,0.001013146,0.386525902,2.862307019,21.00059495,0.008484431,1.098919159,1.035820352,0.09527304,0.263735256,0.095240693
15,131,5000,136,766,2,3,3,3,136,NA,NC354,Z027E0216,09IN5000,27,294.459,3.852183653,1.651341474,1019.430791,0.288079892,3255.792117,1234.373033,5181.77204,43.90336366,7.416553136,21.72229774,0.000677115,0.081423503,1.09795393,21.74967373,0.010473451,1.289737211,2.471415377,0.098626745,0.079588237,0.094923696
47,194,1489,216,2451,4,8,5,11,537,MO047,IBM,Z017E0100,09IN1489,17,218.555,3.956002719,2.853025926,1631.262858,0.687254853,3565.85407,1125.17762,4961.069545,97.54056889,9.127406883,20.92346364,0.001414881,0.13229643,1.232736659,23.57285269,0.019053309,1.106275561,1.983438279,0.254614907,0.268808889,0.09463603
55,29,5119,36,2913,5,10,1,7,357,NA,B76,Z027E0043,09IN5119,27,270.405,4.248048801,2.73559293,1302.187263,0.605425478,3248.527358,1026.533905,3882.609049,35.42895158,4.931765048,20.3720508,0.001108836,0.403498236,2.580724843,18.28787898,0.01540498,0.771209666,1.306033453,0.07935697,0.259413916,0.092671759
82,177,5036,192,4353,7,14,4,10,513,NA,A661,Z027E0020,09IN5036,27,175.341,3.599045608,1.288213921,1357.28393,0.992500973,2666.756546,1038.817392,3121.490478,40.96812683,3.677369117,16.76430071,0.001769422,0.42830389,2.303327564,17.61992536,0.020395086,0.796895833,2.17352284,0.074077951,0.312822158,0.090408349
30,211,4908,234,1506,3,5,6,6,234,NA,NC290A,Z027E0190,09IN4908,27,292.855,4.021312029,1.562077481,1475.942771,0.553544798,3149.830638,1331.735848,3433.298228,60.86016685,5.158115294,23.86490795,0.000637812,0.283743884,2.860413203,23.94594494,0.005864555,0.804110664,1.307935014,0.158725567,0.207970874,0.090057881
38,83,4983,83,1997,4,7,2,2,83,NA,KY228,Z027E0156,09IN4983,27,193.961,4.376623067,3.83733507,1551.767797,0.797187951,4328.64838,1282.047401,4242.492822,63.24058986,7.181719446,23.70662221,0.001490886,0.117477857,2.737891506,23.10329869,0.019369742,0.795943419,1.99661399,0.128144612,0.124508528,0.090023601
80,24,1419,27,4188,7,14,2,8,348,MO102,IBM,Z017E0115,09IN1419,17,202.667,4.8371737,1.437163811,1607.493172,0.770210238,3719.327001,1132.310736,4328.172681,78.97099472,8.069569085,19.4313363,0.001682807,0.198245355,2.266671878,32.57598071,0.019052022,1.653749645,1.422233393,0.071980261,0.34303822,0.089666516
37,57,4945,58,1972,4,7,1,1,58,NA,Mo17,Z027E0282,09IN4945,27,357.464,4.370443286,1.933703425,1191.392461,0.640385659,2758.118644,969.3566446,4069.694328,25.66118906,5.815271353,21.61844766,0.001407518,0.095045249,2.729072725,21.27196746,0.01176345,1.093615598,1.447921022,0.057668876,0.26678205,0.089268916
